"Ano","Numero de Contribuições","Tipo de Contribuinte/Fonte","Quantidade de Contribuintes","Tipo de Contribuinte Resumo"
"2007","4","Empregado e Outro Contr-Gps","1284","Ambos"
"2007","5","Empregado e Outro Contr-Gps","1624","Ambos"
"2007","6","Empregado e Outro Contr-Gps","1887","Ambos"
"2007","7","Empregado e Outro Contr-Gps","2039","Ambos"
"2007","8","Empregado e Outro Contr-Gps","1973","Ambos"
"2007","9","Empregado e Outro Contr-Gps","1929","Ambos"
"2007","10","Empregado e Outro Contr-Gps","2010","Ambos"
"2007","11","Empregado e Outro Contr-Gps","2735","Ambos"
"2007","12","Empregado e Outro Contr-Gps","8894","Ambos"
"2007","1","Outro Contr-Gfip","30389","Outros Contribuintes"
"2007","2","Outro Contr-Gfip","14522","Outros Contribuintes"
"2007","3","Outro Contr-Gfip","10900","Outros Contribuintes"
"2007","4","Outro Contr-Gfip","8811","Outros Contribuintes"
"2007","5","Outro Contr-Gfip","7767","Outros Contribuintes"
"2007","6","Outro Contr-Gfip","7587","Outros Contribuintes"
"2007","7","Outro Contr-Gfip","7368","Outros Contribuintes"
"2007","8","Outro Contr-Gfip","7532","Outros Contribuintes"
"2007","9","Outro Contr-Gfip","7978","Outros Contribuintes"
"2007","10","Outro Contr-Gfip","8877","Outros Contribuintes"
"2007","11","Outro Contr-Gfip","14482","Outros Contribuintes"
"2007","12","Outro Contr-Gfip","90636","Outros Contribuintes"
"2007","1","Empregado e Outro Contr-Gfip","151","Ambos"
"2007","2","Empregado e Outro Contr-Gfip","1971","Ambos"
"2007","3","Empregado e Outro Contr-Gfip","3241","Ambos"
"2007","4","Empregado e Outro Contr-Gfip","4054","Ambos"
"2007","5","Empregado e Outro Contr-Gfip","4685","Ambos"
"2007","6","Empregado e Outro Contr-Gfip","5307","Ambos"
"2007","7","Empregado e Outro Contr-Gfip","5580","Ambos"
"2007","8","Empregado e Outro Contr-Gfip","6102","Ambos"
"2007","9","Empregado e Outro Contr-Gfip","6599","Ambos"
"2007","10","Empregado e Outro Contr-Gfip","7499","Ambos"
"2007","11","Empregado e Outro Contr-Gfip","10335","Ambos"
"2007","12","Empregado e Outro Contr-Gfip","66980","Ambos"
"2007","1","Outro Contr-Gps-Gfip","53","Outros Contribuintes"
"2007","2","Outro Contr-Gps-Gfip","267","Outros Contribuintes"
"2007","3","Outro Contr-Gps-Gfip","281","Outros Contribuintes"
"2007","4","Outro Contr-Gps-Gfip","307","Outros Contribuintes"
"2007","5","Outro Contr-Gps-Gfip","343","Outros Contribuintes"
"2007","6","Outro Contr-Gps-Gfip","342","Outros Contribuintes"
"2007","7","Outro Contr-Gps-Gfip","365","Outros Contribuintes"
"2007","8","Outro Contr-Gps-Gfip","430","Outros Contribuintes"
"2007","9","Outro Contr-Gps-Gfip","450","Outros Contribuintes"
"2007","10","Outro Contr-Gps-Gfip","551","Outros Contribuintes"
"2007","11","Outro Contr-Gps-Gfip","997","Outros Contribuintes"
"2007","12","Outro Contr-Gps-Gfip","5996","Outros Contribuintes"
"2007","1","Empregado e Outro Contr-Gps-Gfip","1","Ambos"
"2007","2","Empregado e Outro Contr-Gps-Gfip","10","Ambos"
"2007","3","Empregado e Outro Contr-Gps-Gfip","21","Ambos"
"2007","4","Empregado e Outro Contr-Gps-Gfip","51","Ambos"
"2007","5","Empregado e Outro Contr-Gps-Gfip","63","Ambos"
"2007","6","Empregado e Outro Contr-Gps-Gfip","81","Ambos"
"2007","7","Empregado e Outro Contr-Gps-Gfip","90","Ambos"
"2007","8","Empregado e Outro Contr-Gps-Gfip","107","Ambos"
"2007","9","Empregado e Outro Contr-Gps-Gfip","118","Ambos"
"2007","10","Empregado e Outro Contr-Gps-Gfip","156","Ambos"
"2007","11","Empregado e Outro Contr-Gps-Gfip","236","Ambos"
"2007","12","Empregado e Outro Contr-Gps-Gfip","1205","Ambos"
"2007","1","Empregado","122629","Trabalhadores Empregados"
"2007","2","Empregado","140055","Trabalhadores Empregados"
"2007","3","Empregado","148320","Trabalhadores Empregados"
"2007","4","Empregado","142365","Trabalhadores Empregados"
"2007","5","Empregado","151960","Trabalhadores Empregados"
"2007","6","Empregado","158765","Trabalhadores Empregados"
"2007","7","Empregado","166649","Trabalhadores Empregados"
"2007","8","Empregado","165704","Trabalhadores Empregados"
"2007","9","Empregado","163489","Trabalhadores Empregados"
"2007","10","Empregado","177192","Trabalhadores Empregados"
"2007","11","Empregado","242431","Trabalhadores Empregados"
"2007","12","Empregado","1810678","Trabalhadores Empregados"
"2007","1","Outro Contr-Gps","10426","Outros Contribuintes"
"2007","2","Outro Contr-Gps","7800","Outros Contribuintes"
"2007","3","Outro Contr-Gps","8138","Outros Contribuintes"
"2007","4","Outro Contr-Gps","7571","Outros Contribuintes"
"2007","5","Outro Contr-Gps","6778","Outros Contribuintes"
"2007","6","Outro Contr-Gps","6385","Outros Contribuintes"
"2007","7","Outro Contr-Gps","6029","Outros Contribuintes"
"2007","8","Outro Contr-Gps","6198","Outros Contribuintes"
"2007","9","Outro Contr-Gps","5888","Outros Contribuintes"
"2007","10","Outro Contr-Gps","6055","Outros Contribuintes"
"2007","11","Outro Contr-Gps","10485","Outros Contribuintes"
"2007","12","Outro Contr-Gps","53648","Outros Contribuintes"
"2007","1","Empregado e Outro Contr-Gps","32","Ambos"
"2007","2","Empregado e Outro Contr-Gps","526","Ambos"
"2007","3","Empregado e Outro Contr-Gps","855","Ambos"
"2007","4","Empregado e Outro Contr-Gps","1220","Ambos"
"2007","5","Empregado e Outro Contr-Gps","1499","Ambos"
"2007","6","Empregado e Outro Contr-Gps","1616","Ambos"
"2007","7","Empregado e Outro Contr-Gps","1818","Ambos"
"2007","8","Empregado e Outro Contr-Gps","1714","Ambos"
"2007","9","Empregado e Outro Contr-Gps","1608","Ambos"
"2007","10","Empregado e Outro Contr-Gps","1698","Ambos"
"2007","11","Empregado e Outro Contr-Gps","2298","Ambos"
"2007","12","Empregado e Outro Contr-Gps","7025","Ambos"
"2007","1","Outro Contr-Gfip","27136","Outros Contribuintes"
"2007","2","Outro Contr-Gfip","12506","Outros Contribuintes"
"2007","3","Outro Contr-Gfip","9239","Outros Contribuintes"
"2007","4","Outro Contr-Gfip","7184","Outros Contribuintes"
"2007","5","Outro Contr-Gfip","6470","Outros Contribuintes"
"2007","6","Outro Contr-Gfip","6080","Outros Contribuintes"
"2007","7","Outro Contr-Gfip","5720","Outros Contribuintes"
"2007","8","Outro Contr-Gfip","5931","Outros Contribuintes"
"2007","9","Outro Contr-Gfip","6391","Outros Contribuintes"
"2007","10","Outro Contr-Gfip","6687","Outros Contribuintes"
"2007","11","Outro Contr-Gfip","10617","Outros Contribuintes"
"2007","12","Outro Contr-Gfip","64142","Outros Contribuintes"
"2007","1","Empregado e Outro Contr-Gfip","169","Ambos"
"2007","2","Empregado e Outro Contr-Gfip","2118","Ambos"
"2007","3","Empregado e Outro Contr-Gfip","3364","Ambos"
"2007","4","Empregado e Outro Contr-Gfip","4302","Ambos"
"2007","5","Empregado e Outro Contr-Gfip","4864","Ambos"
"2007","6","Empregado e Outro Contr-Gfip","5478","Ambos"
"2007","7","Empregado e Outro Contr-Gfip","6033","Ambos"
"2007","8","Empregado e Outro Contr-Gfip","6360","Ambos"
"2007","9","Empregado e Outro Contr-Gfip","6839","Ambos"
"2007","10","Empregado e Outro Contr-Gfip","7772","Ambos"
"2007","11","Empregado e Outro Contr-Gfip","10319","Ambos"
"2007","12","Empregado e Outro Contr-Gfip","61820","Ambos"
"2007","1","Outro Contr-Gps-Gfip","73","Outros Contribuintes"
"2007","2","Outro Contr-Gps-Gfip","202","Outros Contribuintes"
"2007","3","Outro Contr-Gps-Gfip","215","Outros Contribuintes"
"2007","4","Outro Contr-Gps-Gfip","246","Outros Contribuintes"
"2007","5","Outro Contr-Gps-Gfip","241","Outros Contribuintes"
"2007","6","Outro Contr-Gps-Gfip","267","Outros Contribuintes"
"2007","7","Outro Contr-Gps-Gfip","285","Outros Contribuintes"
"2007","8","Outro Contr-Gps-Gfip","297","Outros Contribuintes"
"2007","9","Outro Contr-Gps-Gfip","329","Outros Contribuintes"
"2007","10","Outro Contr-Gps-Gfip","399","Outros Contribuintes"
"2007","11","Outro Contr-Gps-Gfip","618","Outros Contribuintes"
"2007","12","Outro Contr-Gps-Gfip","3718","Outros Contribuintes"
"2007","2","Empregado e Outro Contr-Gps-Gfip","5","Ambos"
"2007","3","Empregado e Outro Contr-Gps-Gfip","31","Ambos"
"2007","4","Empregado e Outro Contr-Gps-Gfip","50","Ambos"
"2007","5","Empregado e Outro Contr-Gps-Gfip","71","Ambos"
"2007","6","Empregado e Outro Contr-Gps-Gfip","84","Ambos"
"2007","7","Empregado e Outro Contr-Gps-Gfip","112","Ambos"
"2007","8","Empregado e Outro Contr-Gps-Gfip","94","Ambos"
"2007","9","Empregado e Outro Contr-Gps-Gfip","131","Ambos"
"2007","10","Empregado e Outro Contr-Gps-Gfip","121","Ambos"
"2007","11","Empregado e Outro Contr-Gps-Gfip","216","Ambos"
"2007","12","Empregado e Outro Contr-Gps-Gfip","984","Ambos"
"2007","1","Empregado","134601","Trabalhadores Empregados"
"2007","2","Empregado","155295","Trabalhadores Empregados"
"2007","3","Empregado","164998","Trabalhadores Empregados"
"2007","4","Empregado","157333","Trabalhadores Empregados"
"2007","5","Empregado","167091","Trabalhadores Empregados"
"2007","6","Empregado","176307","Trabalhadores Empregados"
"2007","7","Empregado","183691","Trabalhadores Empregados"
"2007","8","Empregado","184269","Trabalhadores Empregados"
"2007","9","Empregado","178656","Trabalhadores Empregados"
"2007","10","Empregado","192528","Trabalhadores Empregados"
"2007","11","Empregado","252647","Trabalhadores Empregados"
"2007","12","Empregado","1760306","Trabalhadores Empregados"
"2007","1","Outro Contr-Gps","8852","Outros Contribuintes"
"2007","2","Outro Contr-Gps","6719","Outros Contribuintes"
"2007","3","Outro Contr-Gps","6962","Outros Contribuintes"
"2007","4","Outro Contr-Gps","6217","Outros Contribuintes"
"2007","5","Outro Contr-Gps","5636","Outros Contribuintes"
"2007","6","Outro Contr-Gps","5252","Outros Contribuintes"
"2007","7","Outro Contr-Gps","4846","Outros Contribuintes"
"2007","8","Outro Contr-Gps","4933","Outros Contribuintes"
"2007","9","Outro Contr-Gps","4707","Outros Contribuintes"
"2007","10","Outro Contr-Gps","4774","Outros Contribuintes"
"2007","11","Outro Contr-Gps","7763","Outros Contribuintes"
"2007","12","Outro Contr-Gps","36327","Outros Contribuintes"
"2007","1","Empregado e Outro Contr-Gps","25","Ambos"
"2007","2","Empregado e Outro Contr-Gps","549","Ambos"
"2007","3","Empregado e Outro Contr-Gps","883","Ambos"
"2007","4","Empregado e Outro Contr-Gps","1155","Ambos"
"2007","5","Empregado e Outro Contr-Gps","1445","Ambos"
"2007","6","Empregado e Outro Contr-Gps","1625","Ambos"
"2007","7","Empregado e Outro Contr-Gps","1693","Ambos"
"2007","8","Empregado e Outro Contr-Gps","1644","Ambos"
"2007","9","Empregado e Outro Contr-Gps","1529","Ambos"
"2007","10","Empregado e Outro Contr-Gps","1527","Ambos"
"2007","11","Empregado e Outro Contr-Gps","1999","Ambos"
"2007","12","Empregado e Outro Contr-Gps","5326","Ambos"
"2007","1","Outro Contr-Gfip","24014","Outros Contribuintes"
"2007","2","Outro Contr-Gfip","10841","Outros Contribuintes"
"2007","3","Outro Contr-Gfip","7767","Outros Contribuintes"
"2007","4","Outro Contr-Gfip","5910","Outros Contribuintes"
"2007","5","Outro Contr-Gfip","5265","Outros Contribuintes"
"2007","6","Outro Contr-Gfip","4979","Outros Contribuintes"
"2007","7","Outro Contr-Gfip","4676","Outros Contribuintes"
"2007","8","Outro Contr-Gfip","4684","Outros Contribuintes"
"2007","9","Outro Contr-Gfip","4880","Outros Contribuintes"
"2007","10","Outro Contr-Gfip","5220","Outros Contribuintes"
"2007","11","Outro Contr-Gfip","7651","Outros Contribuintes"
"2007","12","Outro Contr-Gfip","42465","Outros Contribuintes"
"2007","1","Empregado e Outro Contr-Gfip","168","Ambos"
"2007","2","Empregado e Outro Contr-Gfip","2306","Ambos"
"2007","3","Empregado e Outro Contr-Gfip","3511","Ambos"
"2007","4","Empregado e Outro Contr-Gfip","4437","Ambos"
"2007","5","Empregado e Outro Contr-Gfip","4881","Ambos"
"2007","6","Empregado e Outro Contr-Gfip","5407","Ambos"
"2007","7","Empregado e Outro Contr-Gfip","5740","Ambos"
"2007","8","Empregado e Outro Contr-Gfip","6145","Ambos"
"2007","9","Empregado e Outro Contr-Gfip","6486","Ambos"
"2007","10","Empregado e Outro Contr-Gfip","7369","Ambos"
"2007","11","Empregado e Outro Contr-Gfip","9267","Ambos"
"2007","12","Empregado e Outro Contr-Gfip","50659","Ambos"
"2007","1","Outro Contr-Gps-Gfip","48","Outros Contribuintes"
"2007","2","Outro Contr-Gps-Gfip","167","Outros Contribuintes"
"2007","3","Outro Contr-Gps-Gfip","182","Outros Contribuintes"
"2007","4","Outro Contr-Gps-Gfip","171","Outros Contribuintes"
"2007","5","Outro Contr-Gps-Gfip","185","Outros Contribuintes"
"2007","6","Outro Contr-Gps-Gfip","218","Outros Contribuintes"
"2007","7","Outro Contr-Gps-Gfip","190","Outros Contribuintes"
"2007","8","Outro Contr-Gps-Gfip","226","Outros Contribuintes"
"2007","9","Outro Contr-Gps-Gfip","252","Outros Contribuintes"
"2007","10","Outro Contr-Gps-Gfip","249","Outros Contribuintes"
"2007","11","Outro Contr-Gps-Gfip","393","Outros Contribuintes"
"2007","12","Outro Contr-Gps-Gfip","2064","Outros Contribuintes"
"2007","2","Empregado e Outro Contr-Gps-Gfip","5","Ambos"
"2007","3","Empregado e Outro Contr-Gps-Gfip","25","Ambos"
"2007","4","Empregado e Outro Contr-Gps-Gfip","37","Ambos"
"2007","5","Empregado e Outro Contr-Gps-Gfip","48","Ambos"
"2007","6","Empregado e Outro Contr-Gps-Gfip","70","Ambos"
"2007","7","Empregado e Outro Contr-Gps-Gfip","69","Ambos"
"2007","8","Empregado e Outro Contr-Gps-Gfip","87","Ambos"
"2007","9","Empregado e Outro Contr-Gps-Gfip","105","Ambos"
"2007","10","Empregado e Outro Contr-Gps-Gfip","95","Ambos"
"2007","11","Empregado e Outro Contr-Gps-Gfip","153","Ambos"
"2007","12","Empregado e Outro Contr-Gps-Gfip","630","Ambos"
"2007","1","Empregado","152562","Trabalhadores Empregados"
"2007","2","Empregado","178210","Trabalhadores Empregados"
"2007","3","Empregado","185983","Trabalhadores Empregados"
"2007","4","Empregado","176302","Trabalhadores Empregados"
"2007","5","Empregado","185208","Trabalhadores Empregados"
"2007","6","Empregado","192968","Trabalhadores Empregados"
"2007","7","Empregado","199887","Trabalhadores Empregados"
"2007","8","Empregado","199998","Trabalhadores Empregados"
"2007","9","Empregado","192423","Trabalhadores Empregados"
"2007","10","Empregado","203153","Trabalhadores Empregados"
"2007","11","Empregado","256062","Trabalhadores Empregados"
"2007","12","Empregado","1675821","Trabalhadores Empregados"
"2007","1","Outro Contr-Gps","7076","Outros Contribuintes"
"2007","2","Outro Contr-Gps","5679","Outros Contribuintes"
"2007","3","Outro Contr-Gps","5668","Outros Contribuintes"
"2007","4","Outro Contr-Gps","5120","Outros Contribuintes"
"2007","5","Outro Contr-Gps","4614","Outros Contribuintes"
"2007","6","Outro Contr-Gps","4305","Outros Contribuintes"
"2007","7","Outro Contr-Gps","3901","Outros Contribuintes"
"2007","8","Outro Contr-Gps","3889","Outros Contribuintes"
"2007","9","Outro Contr-Gps","3681","Outros Contribuintes"
"2007","10","Outro Contr-Gps","3600","Outros Contribuintes"
"2007","11","Outro Contr-Gps","5527","Outros Contribuintes"
"2007","12","Outro Contr-Gps","23300","Outros Contribuintes"
"2007","1","Empregado e Outro Contr-Gps","19","Ambos"
"2007","2","Empregado e Outro Contr-Gps","441","Ambos"
"2007","3","Empregado e Outro Contr-Gps","750","Ambos"
"2007","4","Empregado e Outro Contr-Gps","1072","Ambos"
"2007","5","Empregado e Outro Contr-Gps","1247","Ambos"
"2007","6","Empregado e Outro Contr-Gps","1378","Ambos"
"2007","7","Empregado e Outro Contr-Gps","1411","Ambos"
"2007","8","Empregado e Outro Contr-Gps","1353","Ambos"
"2007","9","Empregado e Outro Contr-Gps","1274","Ambos"
"2007","10","Empregado e Outro Contr-Gps","1179","Ambos"
"2007","11","Empregado e Outro Contr-Gps","1474","Ambos"
"2007","12","Empregado e Outro Contr-Gps","3767","Ambos"
"2007","1","Outro Contr-Gfip","23575","Outros Contribuintes"
"2007","2","Outro Contr-Gfip","10057","Outros Contribuintes"
"2007","3","Outro Contr-Gfip","6901","Outros Contribuintes"
"2007","4","Outro Contr-Gfip","5173","Outros Contribuintes"
"2007","5","Outro Contr-Gfip","4338","Outros Contribuintes"
"2007","6","Outro Contr-Gfip","3976","Outros Contribuintes"
"2007","7","Outro Contr-Gfip","3642","Outros Contribuintes"
"2007","8","Outro Contr-Gfip","3574","Outros Contribuintes"
"2007","9","Outro Contr-Gfip","3723","Outros Contribuintes"
"2007","10","Outro Contr-Gfip","3770","Outros Contribuintes"
"2007","11","Outro Contr-Gfip","5515","Outros Contribuintes"
"2007","12","Outro Contr-Gfip","27192","Outros Contribuintes"
"2007","1","Empregado e Outro Contr-Gfip","184","Ambos"
"2007","2","Empregado e Outro Contr-Gfip","2311","Ambos"
"2007","3","Empregado e Outro Contr-Gfip","3647","Ambos"
"2007","4","Empregado e Outro Contr-Gfip","4291","Ambos"
"2007","5","Empregado e Outro Contr-Gfip","4871","Ambos"
"2007","6","Empregado e Outro Contr-Gfip","5012","Ambos"
"2007","7","Empregado e Outro Contr-Gfip","5350","Ambos"
"2007","8","Empregado e Outro Contr-Gfip","5719","Ambos"
"2007","9","Empregado e Outro Contr-Gfip","5967","Ambos"
"2007","10","Empregado e Outro Contr-Gfip","6266","Ambos"
"2007","11","Empregado e Outro Contr-Gfip","8004","Ambos"
"2007","12","Empregado e Outro Contr-Gfip","37921","Ambos"
"2007","1","Outro Contr-Gps-Gfip","41","Outros Contribuintes"
"2007","2","Outro Contr-Gps-Gfip","118","Outros Contribuintes"
"2007","3","Outro Contr-Gps-Gfip","134","Outros Contribuintes"
"2007","4","Outro Contr-Gps-Gfip","141","Outros Contribuintes"
"2007","5","Outro Contr-Gps-Gfip","131","Outros Contribuintes"
"2007","6","Outro Contr-Gps-Gfip","128","Outros Contribuintes"
"2007","7","Outro Contr-Gps-Gfip","149","Outros Contribuintes"
"2007","8","Outro Contr-Gps-Gfip","144","Outros Contribuintes"
"2007","9","Outro Contr-Gps-Gfip","154","Outros Contribuintes"
"2007","10","Outro Contr-Gps-Gfip","170","Outros Contribuintes"
"2007","11","Outro Contr-Gps-Gfip","243","Outros Contribuintes"
"2007","12","Outro Contr-Gps-Gfip","1107","Outros Contribuintes"
"2007","1","Empregado e Outro Contr-Gps-Gfip","1","Ambos"
"2007","2","Empregado e Outro Contr-Gps-Gfip","6","Ambos"
"2007","3","Empregado e Outro Contr-Gps-Gfip","10","Ambos"
"2007","4","Empregado e Outro Contr-Gps-Gfip","32","Ambos"
"2007","5","Empregado e Outro Contr-Gps-Gfip","40","Ambos"
"2007","6","Empregado e Outro Contr-Gps-Gfip","51","Ambos"
"2007","7","Empregado e Outro Contr-Gps-Gfip","58","Ambos"
"2007","8","Empregado e Outro Contr-Gps-Gfip","68","Ambos"
"2007","9","Empregado e Outro Contr-Gps-Gfip","75","Ambos"
"2007","10","Empregado e Outro Contr-Gps-Gfip","84","Ambos"
"2007","11","Empregado e Outro Contr-Gps-Gfip","98","Ambos"
"2007","12","Empregado e Outro Contr-Gps-Gfip","423","Ambos"
"2007","1","Empregado","209667","Trabalhadores Empregados"
"2007","2","Empregado","242118","Trabalhadores Empregados"
"2007","3","Empregado","239353","Trabalhadores Empregados"
"2007","4","Empregado","217416","Trabalhadores Empregados"
"2007","5","Empregado","216293","Trabalhadores Empregados"
"2007","6","Empregado","213498","Trabalhadores Empregados"
"2007","7","Empregado","217778","Trabalhadores Empregados"
"2007","8","Empregado","216537","Trabalhadores Empregados"
"2007","9","Empregado","204108","Trabalhadores Empregados"
"2007","10","Empregado","212224","Trabalhadores Empregados"
"2007","11","Empregado","248504","Trabalhadores Empregados"
"2007","12","Empregado","1437556","Trabalhadores Empregados"
"2007","1","Outro Contr-Gps","5399","Outros Contribuintes"
"2007","2","Outro Contr-Gps","4205","Outros Contribuintes"
"2007","3","Outro Contr-Gps","4184","Outros Contribuintes"
"2007","4","Outro Contr-Gps","3672","Outros Contribuintes"
"2007","5","Outro Contr-Gps","3293","Outros Contribuintes"
"2007","6","Outro Contr-Gps","2952","Outros Contribuintes"
"2007","7","Outro Contr-Gps","2729","Outros Contribuintes"
"2007","8","Outro Contr-Gps","2784","Outros Contribuintes"
"2007","9","Outro Contr-Gps","2537","Outros Contribuintes"
"2007","10","Outro Contr-Gps","2594","Outros Contribuintes"
"2007","11","Outro Contr-Gps","3682","Outros Contribuintes"
"2007","12","Outro Contr-Gps","14807","Outros Contribuintes"
"2007","1","Empregado e Outro Contr-Gps","14","Ambos"
"2007","2","Empregado e Outro Contr-Gps","355","Ambos"
"2007","3","Empregado e Outro Contr-Gps","659","Ambos"
"2007","4","Empregado e Outro Contr-Gps","878","Ambos"
"2007","5","Empregado e Outro Contr-Gps","1026","Ambos"
"2007","6","Empregado e Outro Contr-Gps","1168","Ambos"
"2007","7","Empregado e Outro Contr-Gps","1183","Ambos"
"2007","8","Empregado e Outro Contr-Gps","1180","Ambos"
"2007","9","Empregado e Outro Contr-Gps","1017","Ambos"
"2007","10","Empregado e Outro Contr-Gps","988","Ambos"
"2007","11","Empregado e Outro Contr-Gps","1263","Ambos"
"2007","12","Empregado e Outro Contr-Gps","2937","Ambos"
"2007","1","Outro Contr-Gfip","19481","Outros Contribuintes"
"2007","2","Outro Contr-Gfip","8337","Outros Contribuintes"
"2007","3","Outro Contr-Gfip","5797","Outros Contribuintes"
"2007","4","Outro Contr-Gfip","4358","Outros Contribuintes"
"2007","5","Outro Contr-Gfip","3601","Outros Contribuintes"
"2007","6","Outro Contr-Gfip","3264","Outros Contribuintes"
"2007","7","Outro Contr-Gfip","2892","Outros Contribuintes"
"2007","8","Outro Contr-Gfip","2899","Outros Contribuintes"
"2007","9","Outro Contr-Gfip","2957","Outros Contribuintes"
"2007","10","Outro Contr-Gfip","2897","Outros Contribuintes"
"2007","11","Outro Contr-Gfip","4149","Outros Contribuintes"
"2007","12","Outro Contr-Gfip","18671","Outros Contribuintes"
"2007","1","Empregado e Outro Contr-Gfip","162","Ambos"
"2007","2","Empregado e Outro Contr-Gfip","2208","Ambos"
"2007","3","Empregado e Outro Contr-Gfip","3404","Ambos"
"2007","4","Empregado e Outro Contr-Gfip","4199","Ambos"
"2007","5","Empregado e Outro Contr-Gfip","4427","Ambos"
"2007","6","Empregado e Outro Contr-Gfip","4793","Ambos"
"2007","7","Empregado e Outro Contr-Gfip","5117","Ambos"
"2007","8","Empregado e Outro Contr-Gfip","5468","Ambos"
"2007","9","Empregado e Outro Contr-Gfip","5633","Ambos"
"2007","10","Empregado e Outro Contr-Gfip","5769","Ambos"
"2007","11","Empregado e Outro Contr-Gfip","7115","Ambos"
"2007","12","Empregado e Outro Contr-Gfip","30869","Ambos"
"2007","1","Outro Contr-Gps-Gfip","28","Outros Contribuintes"
"2007","2","Outro Contr-Gps-Gfip","92","Outros Contribuintes"
"2007","3","Outro Contr-Gps-Gfip","90","Outros Contribuintes"
"2007","4","Outro Contr-Gps-Gfip","88","Outros Contribuintes"
"2007","5","Outro Contr-Gps-Gfip","83","Outros Contribuintes"
"2007","6","Outro Contr-Gps-Gfip","80","Outros Contribuintes"
"2007","7","Outro Contr-Gps-Gfip","96","Outros Contribuintes"
"2007","8","Outro Contr-Gps-Gfip","91","Outros Contribuintes"
"2007","9","Outro Contr-Gps-Gfip","94","Outros Contribuintes"
"2007","10","Outro Contr-Gps-Gfip","111","Outros Contribuintes"
"2007","11","Outro Contr-Gps-Gfip","146","Outros Contribuintes"
"2007","12","Outro Contr-Gps-Gfip","651","Outros Contribuintes"
"2007","2","Empregado e Outro Contr-Gps-Gfip","2","Ambos"
"2007","3","Empregado e Outro Contr-Gps-Gfip","12","Ambos"
"2007","4","Empregado e Outro Contr-Gps-Gfip","22","Ambos"
"2007","5","Empregado e Outro Contr-Gps-Gfip","34","Ambos"
"2007","6","Empregado e Outro Contr-Gps-Gfip","35","Ambos"
"2007","7","Empregado e Outro Contr-Gps-Gfip","43","Ambos"
"2007","8","Empregado e Outro Contr-Gps-Gfip","54","Ambos"
"2007","9","Empregado e Outro Contr-Gps-Gfip","48","Ambos"
"2007","10","Empregado e Outro Contr-Gps-Gfip","80","Ambos"
"2007","11","Empregado e Outro Contr-Gps-Gfip","72","Ambos"
"2007","12","Empregado e Outro Contr-Gps-Gfip","271","Ambos"
"2007","1","Empregado","229813","Trabalhadores Empregados"
"2007","2","Empregado","254366","Trabalhadores Empregados"
"2007","3","Empregado","254726","Trabalhadores Empregados"
"2007","4","Empregado","233474","Trabalhadores Empregados"
"2007","5","Empregado","231544","Trabalhadores Empregados"
"2007","6","Empregado","224274","Trabalhadores Empregados"
"2007","7","Empregado","225868","Trabalhadores Empregados"
"2007","8","Empregado","222851","Trabalhadores Empregados"
"2007","9","Empregado","211379","Trabalhadores Empregados"
"2007","10","Empregado","215292","Trabalhadores Empregados"
"2007","11","Empregado","253893","Trabalhadores Empregados"
"2007","12","Empregado","1377586","Trabalhadores Empregados"
"2007","1","Outro Contr-Gps","23914","Outros Contribuintes"
"2007","2","Outro Contr-Gps","20184","Outros Contribuintes"
"2007","3","Outro Contr-Gps","20866","Outros Contribuintes"
"2007","4","Outro Contr-Gps","17408","Outros Contribuintes"
"2007","5","Outro Contr-Gps","10292","Outros Contribuintes"
"2007","6","Outro Contr-Gps","6818","Outros Contribuintes"
"2007","7","Outro Contr-Gps","6059","Outros Contribuintes"
"2007","8","Outro Contr-Gps","5858","Outros Contribuintes"
"2007","9","Outro Contr-Gps","5286","Outros Contribuintes"
"2007","10","Outro Contr-Gps","4933","Outros Contribuintes"
"2007","11","Outro Contr-Gps","8304","Outros Contribuintes"
"2007","12","Outro Contr-Gps","43101","Outros Contribuintes"
"2007","1","Empregado e Outro Contr-Gps","24","Ambos"
"2007","2","Empregado e Outro Contr-Gps","351","Ambos"
"2007","3","Empregado e Outro Contr-Gps","677","Ambos"
"2007","4","Empregado e Outro Contr-Gps","944","Ambos"
"2007","5","Empregado e Outro Contr-Gps","1062","Ambos"
"2007","6","Empregado e Outro Contr-Gps","1108","Ambos"
"2007","7","Empregado e Outro Contr-Gps","1239","Ambos"
"2007","8","Empregado e Outro Contr-Gps","1166","Ambos"
"2007","9","Empregado e Outro Contr-Gps","1067","Ambos"
"2007","10","Empregado e Outro Contr-Gps","1105","Ambos"
"2007","11","Empregado e Outro Contr-Gps","1387","Ambos"
"2007","12","Empregado e Outro Contr-Gps","5677","Ambos"
"2007","1","Outro Contr-Gfip","92964","Outros Contribuintes"
"2007","2","Outro Contr-Gfip","34238","Outros Contribuintes"
"2007","3","Outro Contr-Gfip","22279","Outros Contribuintes"
"2007","4","Outro Contr-Gfip","15232","Outros Contribuintes"
"2007","5","Outro Contr-Gfip","9217","Outros Contribuintes"
"2007","6","Outro Contr-Gfip","6701","Outros Contribuintes"
"2007","7","Outro Contr-Gfip","5967","Outros Contribuintes"
"2007","8","Outro Contr-Gfip","5898","Outros Contribuintes"
"2007","9","Outro Contr-Gfip","6215","Outros Contribuintes"
"2007","10","Outro Contr-Gfip","6776","Outros Contribuintes"
"2007","11","Outro Contr-Gfip","10839","Outros Contribuintes"
"2007","12","Outro Contr-Gfip","65440","Outros Contribuintes"
